food,retail weight (lbs/year),loss from retail (percent),consumer weight (lbs/year),nonedible loss from consumer (percent),other loss from consumer (percent)
oranges,4.941400151,20.4,3.933354521,26,52
tangerines,4.941400151,20.4,3.933354521,26,52
grapefruit,2.166431971,12.8,1.889128678,50,20
lemons,3.452251902,7,3.210594269,47,44
limes,2.863435695,8.317462745,2.625270498,16,44
apples,16.659731,8.6,15.22699414,10,20
apricots,0.067827476,35.1,0.044020032,7,10
avocados,6.58143783,9.3,5.969364112,26,32
bananas,1.464392018,5.246767405,1.387558775,5,8
blueberries,1.464392018,5.246767405,1.387558775,5,8
cantaloup,6.179857077,12.2,5.425914514,49,43
cherries,1.081742211,3.9,1.039554265,9,51
cranberries,0.11127057,6,0.104594335,2,26
grapes,7.205389404,7.6,6.657779809,4,33
honeydew,1.542389236,22.8,1.19072449,54,43
kiwifruit,0.574282079,12.7,0.501348255,14,45
mangoes,2.467430894,14.46516558,2.110512929,31,13
papaya,1.25877486,54.89067906,0.567824792,33,20
peaches,2.821270943,11.91054488,2.485242201,7,42
pears,2.62448583,17.57894864,2.163128814,10,20
pinapple,6.630676564,14.62911589,5.660667206,49,37
plums,0.60831911,17.31655449,0.5029792,6,27
raspberries,0.700582999,9.753979637,0.632248276,4,20
strawberries,7.162969516,9.753979637,6.464294928,6,35
watermelon,13.26589137,16.77733493,11.04022835,48,13
